"filename", "language", "XML", "Markdown", "YAML", "Dart", "C++", "JSON", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\flutter-front\.github\dependabot.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 3, 13
"c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\codeStyles\Project.xml", "XML", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\flutter-front.iml", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\workspace.xml", "XML", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59
"c:\Users\Jaisal Shah\Desktop\flutter-front\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 50, 3, 12, 65
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\debug\AndroidManifest.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\AndroidManifest.xml", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 50
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\res\drawable\launch_background.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\res\values\styles.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\profile\AndroidManifest.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 6, 33
