"filename", "language", "Markdown", "XML", "YAML", "Dart", "Groovy", "C++", "Swift", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Drawer Component\drawer.dart", "Dart", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 4, 85
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\TextField_Component.dart", "Dart", 0, 0, 0, 306, 0, 0, 0, 0, 0, 1, 13, 320
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\TitleComponent.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\login.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 4, 10, 77
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Register_Screen\TextField_Component.dart", "Dart", 0, 0, 0, 396, 0, 0, 0, 0, 0, 0, 10, 406
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Register_Screen\register.dart", "Dart", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Report Bug\mailto.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\apis\api.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\main.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 4, 71
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\modal\User.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 12, 56
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\FlashMessages.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\TnC.dart", "Dart", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\regEx.dart", "Dart", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\vernamCreds.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\pubspec.yaml", "YAML", 0, 0, 37, 0, 0, 0, 0, 0, 0, 36, 17, 90
"c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"Total", "-", 16, 310, 43, 1666, 84, 1, 12, 9, 145, 118, 183, 2587
