"filename", "language", "XML", "YAML", "Dart", "Markdown", "C++", "Properties", "Groovy", "Swift", "JSON", "comment", "blank", "total"
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Playlist\Playlist.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Forums\Forums.dart", "Dart", 0, 0, 230, 0, 0, 0, 0, 0, 0, 1, 11, 242
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\Attendance.dart", "Dart", 0, 0, 136, 0, 0, 0, 0, 0, 0, 1, 11, 148
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\ViewAttendance.dart", "Dart", 0, 0, 212, 0, 0, 0, 0, 0, 0, 1, 8, 221
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\ViewSTudentAttendance.dart", "Dart", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\takeAttendance.dart", "Dart", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 10, 195
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\ClassroomPanel.dart", "Dart", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 8, 232
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Announcement\AddAnnouncement.dart", "Dart", 0, 0, 221, 0, 0, 0, 0, 0, 0, 14, 9, 244
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Announcement\Announcement.dart", "Dart", 0, 0, 163, 0, 0, 0, 0, 0, 0, 1, 8, 172
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Feed.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 5, 66
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\AddLecture\AddLecture.dart", "Dart", 0, 0, 256, 0, 0, 0, 0, 0, 0, 3, 10, 269
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\Lecture.dart", "Dart", 0, 0, 203, 0, 0, 0, 0, 0, 0, 2, 8, 213
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\VideoPlayer\Video.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 7, 49
"c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\VideoPlayer\YoutubeVideo.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 6, 56
